PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT, Factor1 , Factor2 ,State_and_County,Pop, Case_Pop ,RISK
0,Abbeville,SC,1/21/2020,America,NY Times,0,45001,USA,United States,US,0,0, -   , -   ,Abbeville_SC,24557, -   ,Low
0,Acadia,LA,1/21/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/22/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/23/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/24/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/25/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/26/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/27/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/28/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
0,Acadia,LA,1/29/2020,America,NY Times,0,22001,USA,United States,US,0,0, -   , -   ,Acadia_LA,62129.5, -   ,Low
5100,Bell,TX,9/12/2020,America,NY Times,2,48027,USA,United States,US,19,74,0.03, -   ,Bell_TX,359160.5,0.01,Low
5100,Bell,TX,9/13/2020,America,NY Times,0,48027,USA,United States,US,0,74, -   , -   ,Bell_TX,359160.5,0.01,Low
5100,Bell,TX,9/14/2020,America,NY Times,1,48027,USA,United States,US,0,75,0.01, -   ,Bell_TX,359160.5,0.01,Low
5114,Bell,TX,9/15/2020,America,NY Times,1,48027,USA,United States,US,14,76,0.01, -   ,Bell_TX,359160.5,0.01,Low
5219,Bell,TX,9/16/2020,America,NY Times,1,48027,USA,United States,US,105,77,0.01, 0.02 ,Bell_TX,359160.5,0.01,Low
0,Belmont,OH,2/14/2020,America,NY Times,0,39013,USA,United States,US,0,0, -   , -   ,Belmont_OH,67269.5, -   ,Low
0,Belmont,OH,2/15/2020,America,NY Times,0,39013,USA,United States,US,0,0, -   , -   ,Belmont_OH,67269.5, -   ,Low
0,Belmont,OH,2/16/2020,America,NY Times,0,39013,USA,United States,US,0,0, -   , -   ,Belmont_OH,67269.5, -   ,Low
0,Belmont,OH,2/17/2020,America,NY Times,0,39013,USA,United States,US,0,0, -   , -   ,Belmont_OH,67269.5, -   ,Low
0,Belmont,OH,2/18/2020,America,NY Times,0,39013,USA,United States,US,0,0, -   , -   ,Belmont_OH,67269.5, -   ,Low
0,Belmont,OH,2/19/2020,America,NY Times,0,39013,USA,United States,US,0,0, -   , -   ,Belmont_OH,67269.5, -   ,Low
3915,DeKalb,IL,11/13/2020,America,NY Times,0,17037,USA,United States,US,109,44, -   , 0.03 ,DeKalb_IL,104623,0.04,Low
3927,DeKalb,IL,11/14/2020,America,NY Times,0,17037,USA,United States,US,12,44, -   , -   ,DeKalb_IL,104623,0.04,Low
4002,DeKalb,IL,11/15/2020,America,NY Times,0,17037,USA,United States,US,75,44, -   , 0.02 ,DeKalb_IL,104623,0.04,Low
4122,DeKalb,IL,11/16/2020,America,NY Times,0,17037,USA,United States,US,120,44, -   , 0.03 ,DeKalb_IL,104623,0.04,Low
4207,DeKalb,IL,11/17/2020,America,NY Times,0,17037,USA,United States,US,85,44, -   , 0.02 ,DeKalb_IL,104623,0.04,Low
4279,DeKalb,IL,11/18/2020,America,NY Times,0,17037,USA,United States,US,72,44, -   , 0.02 ,DeKalb_IL,104623,0.04,Low
341,Delaware,OK,7/24/2020,America,NY Times,0,40041,USA,United States,US,18,19, -   , 0.05 ,Delaware_OK,42911.5,0.01,Low
351,Delaware,OK,7/25/2020,America,NY Times,0,40041,USA,United States,US,10,19, -   , 0.03 ,Delaware_OK,42911.5,0.01,Low
363,Delaware,OK,7/26/2020,America,NY Times,0,40041,USA,United States,US,12,19, -   , 0.03 ,Delaware_OK,42911.5,0.01,Low
370,Delaware,OK,7/27/2020,America,NY Times,0,40041,USA,United States,US,7,19, -   , 0.02 ,Delaware_OK,42911.5,0.01,Low
379,Delaware,OK,7/28/2020,America,NY Times,0,40041,USA,United States,US,9,19, -   , 0.02 ,Delaware_OK,42911.5,0.01,Low
